,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
175,1994_126,1995_128,6737,39857,47720,47720,8013,8013,0,1,1,2,"460_1994,50","460_1995,50",1994,1995,0.8352263202011735,0.8352263202011735,0.8407587670036191,0.8407587670036191,stasis
176,1994_127,1995_100,52225,327285,367379,395313,58285,62500,0,1,1,2,"420_1994,52,100_1994,13","420_1995,52,100_1995,13,070_1995,12",1994,1995,0.8908647473045547,0.8279135773425109,0.8960281375997254,0.8356,stasis
177,1994_128,1995_130,35445,230626,264065,264065,40436,40436,0,1,1,1,"420_1994,134","420_1995,134",1994,1995,0.873368299471721,0.873368299471721,0.8765703828271837,0.8765703828271837,stasis
178,1994_129,1995_91,75734,475510,519858,528054,82386,83699,0,1,1,1,"220_1994,514,440_1994,17,070_1994,6","220_1995,514,440_1995,17,160_1995,9,070_1995,6",1994,1995,0.9146920889935328,0.9004950251300057,0.9192581263806957,0.904837572730857,stasis
179,1994_130,1995_124,21760,127298,164959,164839,28035,28035,0,1,1,1,"260_1994,54,100_1994,31,440_1994,8","260_1995,54,100_1995,31,440_1995,8",1994,1995,0.7716947847646991,0.7722565654972428,0.7761726413411807,0.7761726413411807,stasis
180,1994_131,1995_134,9780,56997,62273,62273,10616,10616,0,1,1,1,"330_1994,60","330_1995,60",1994,1995,0.9152762834615323,0.9152762834615323,0.9212509419743783,0.9212509419743783,stasis
181,1994_132,1995_136,6877,42793,46313,46281,7414,7414,0,1,1,2,"140_1994,54,200_1994,21","140_1995,54,200_1995,21",1994,1995,0.9239954224515795,0.9246342991724465,0.9275694631777718,0.9275694631777718,stasis
182,1994_133,1995_86,5961,37918,42437,392002,6675,59650,0,2,1,1,"200_1994,29","200_1995,106,100_1995,4",1994,1995,0.8935127365270872,0.09672909832092694,0.8930337078651686,0.09993294216261525,merge
183,1994_134,1995_135,7466,44796,49412,49328,8194,8194,0,1,1,1,"100_1994,39,370_1994,5","100_1995,39,370_1995,5",1994,1995,0.9065813972314417,0.9081252027246188,0.911154503295094,0.911154503295094,stasis
184,1994_135,1995_133,9369,59248,69571,69283,10935,10935,0,1,1,3,"100_1994,18,500_1994,16","100_1995,18,500_1995,16",1994,1995,0.8516192091532392,0.8551592742808481,0.8567901234567902,0.8567901234567902,stasis
185,1994_136,1995_142,10082,64810,79069,78758,12246,12201,0,1,1,1,"490_1994,28","490_1995,28",1994,1995,0.8196638379137209,0.8229005307397343,0.8232892373019761,0.8263257110072945,stasis
