,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
1217,1995_137,1996_60,10508,63968,71590,132862,11703,21519,2,2,1,2,"070_1995,28,490_1995,7","070_1996,45,490_1996,19,120_1996,12",1995,1996,0.8935326162871909,0.4814619680570818,0.8978894300606682,0.48831265393373297,merge
1220,1995_139,1996_135,5759,35351,37483,37483,6097,6097,1,1,1,1,"130_1995,48","130_1996,48",1995,1996,0.9431208814662647,0.9431208814662647,0.9445628997867804,0.9445628997867804,stasis
1223,1995_142,1996_133,10128,65101,78758,78785,12201,12201,1,1,1,2,"490_1995,28","490_1996,28",1995,1996,0.8265953934838366,0.826312115250365,0.8300958937791985,0.8300958937791985,stasis
1224,1995_143,1996_134,11106,68304,82601,83172,13264,13356,2,1,1,2,"490_1995,34","490_1996,34",1995,1996,0.8269149283906975,0.8212379166065503,0.8373039806996381,0.8315363881401617,stasis
1225,1995_144,1996_75,24903,149522,179131,285027,29776,46760,1,3,2,1,"380_1995,50","380_1996,109",1995,1996,0.8347075603887658,0.5245888985955717,0.8363447071466953,0.5325705731394355,merge
1227,1995_145,1996_176,5479,36379,46025,76468,6971,11690,1,1,1,1,"160_1995,22","160_1996,24",1995,1996,0.7904182509505704,0.47574148663493226,0.7859704490030125,0.46869118905047047,growth
1228,1995_146,1996_1,10749,71689,93346,4410352,14039,709199,1,2,1,6,"160_1995,28","160_1996,2731,430_1996,211,420_1996,35,070_1996,30,300_1996,18,360_1996,17,180_1996,16,250_1996,13,310_1996,7",1995,1996,0.7679922010584278,0.016254711642063945,0.7656528242752333,0.015156535753716517,merge
1230,1995_148,1996_178,6370,41843,45397,45518,6863,6884,1,1,1,1,"430_1995,43,160_1995,14","430_1996,44,160_1996,14",1995,1996,0.9217128885168624,0.919262709257876,0.9281655252804896,0.9253341080766996,stasis
1235,1995_152,1996_39,5555,33742,45455,727347,7429,118641,1,4,1,4,"050_1995,23,200_1995,7","220_1996,369,100_1996,39,050_1996,28,200_1996,7",1995,1996,0.7423165768342317,0.04639051236892432,0.747745322385247,0.046821924966917,splinter_in
1236,1995_153,1996_150,6971,42436,46778,47694,7661,7819,1,1,1,1,"180_1995,21,050_1995,18","180_1996,22,050_1996,18",1995,1996,0.9071785882252341,0.8897555248039586,0.909933429056259,0.8915462335337,stasis
1239,1995_156,1996_183,9096,56427,60886,60886,9777,9777,1,1,1,1,"150_1995,16,430_1995,12","150_1996,16,430_1996,12",1995,1996,0.9267647735111519,0.9267647735111519,0.9303467321264192,0.9303467321264192,stasis
1241,1995_158,1996_173,5219,33274,40791,40791,6356,6356,1,1,1,2,"420_1995,13,150_1995,12","420_1996,13,150_1996,12",1995,1996,0.8157191537348925,0.8157191537348925,0.8211139081183134,0.8211139081183134,stasis
1242,1995_159,1996_184,11066,68105,74119,74119,11979,11979,1,1,1,1,"070_1995,29,150_1995,11","070_1996,29,150_1996,11",1995,1996,0.9188602112818576,0.9188602112818576,0.9237832874196511,0.9237832874196511,stasis
1243,1995_160,1996_185,44589,283424,346147,346147,54330,54330,1,1,1,2,"150_1995,68,200_1995,60","150_1996,68,200_1996,60",1995,1996,0.8187966384224044,0.8187966384224044,0.8207067918277194,0.8207067918277194,stasis
1252,1995_169,1996_156,8080,49377,52543,52543,8575,8575,1,1,1,1,"180_1995,14,280_1995,6","180_1996,14,280_1996,6",1995,1996,0.9397445901452144,0.9397445901452144,0.9422740524781341,0.9422740524781341,stasis
1254,1995_171,1996_39,9470,58354,64529,727347,10456,118641,1,4,1,4,"220_1995,39","220_1996,369,100_1996,39,050_1996,28,200_1996,7",1995,1996,0.9043065908351284,0.08022855665865124,0.9057000765110941,0.07982063536214294,merge
1255,1995_172,1996_146,6093,35805,44943,44657,7636,7594,1,1,1,1,"260_1995,8,330_1995,3","260_1996,8,330_1996,3",1995,1996,0.7966757893331553,0.8017779967306358,0.7979308538501834,0.8023439557545431,stasis
1256,1995_173,1996_79,5802,34820,40493,198829,6713,33040,1,2,1,1,"290_1995,20,260_1995,1","290_1996,53,410_1996,8,260_1996,1",1995,1996,0.8599017114069099,0.17512535897680923,0.8642931625204826,0.1756053268765133,growth
1258,1995_175,1996_143,8877,55491,67132,67376,10676,10724,1,1,1,1,"310_1995,32","310_1996,32",1995,1996,0.8265953643567896,0.8236018760389456,0.8314911952041963,0.827769488996643,stasis
1265,1995_180,1996_169,12064,75824,79168,79033,12586,12554,2,1,1,1,"420_1995,51,400_1995,6","420_1996,51,400_1996,6",1995,1996,0.9577607113985449,0.9593967077043767,0.9585253456221198,0.9609686155806915,stasis
1266,1995_181,1996_170,15681,101410,109360,109360,16886,16886,1,1,1,1,"420_1995,68","420_1996,68",1995,1996,0.9273043160204828,0.9273043160204828,0.9286391093213313,0.9286391093213313,stasis
1267,1995_182,1996_163,7801,50822,55498,55516,8509,8514,1,1,1,1,"420_1995,37,250_1995,8","420_1996,37,250_1996,8",1995,1996,0.9157447115211359,0.9154477988327689,0.916793982841697,0.9162555790462767,stasis
1268,1995_183,1996_172,7098,46147,52538,53932,8039,8287,1,1,1,1,"420_1995,25","420_1996,25",1995,1996,0.8783547146827059,0.8556515612252467,0.8829456400049758,0.8565222637866537,stasis
1269,1995_184,1996_152,34637,217758,240052,240048,38109,38108,2,1,1,1,"420_1995,91,180_1995,2","420_1996,91,180_1996,2",1995,1996,0.907128455501308,0.9071435712857429,0.9088929124353827,0.9089167628844337,stasis
1270,1995_185,1996_174,13990,89365,103921,103921,16267,16267,1,1,1,1,"420_1995,27","420_1996,27",1995,1996,0.8599320637792169,0.8599320637792169,0.8600233601770455,0.8600233601770455,stasis
1271,1995_186,1996_19,12330,75905,80022,441540,12956,72466,1,4,1,4,"210_1995,73,070_1995,13","210_1996,73,310_1996,54,260_1996,32,070_1996,27,150_1996,27,500_1996,17,190_1996,13,100_1996,10,490_1996,6,420_1996,5",1995,1996,0.9485516482967185,0.17190967975721339,0.9516826180920037,0.17014875941820992,growth
1281,1995_194,1996_93,11812,74620,93287,113045,14710,17941,1,3,1,2,"180_1995,24","180_1996,50",1995,1996,0.7998970917705576,0.6600911141580786,0.8029911624745072,0.658380246363079,growth
1285,1995_197,1996_222,7622,48975,53505,52299,8296,8090,1,1,1,1,"440_1995,45,430_1995,35","440_1996,45,430_1996,37",1995,1996,0.9153350154191197,0.9364423793953995,0.9187560270009644,0.9421508034610631,stasis
1287,1995_199,1996_224,5984,34563,34604,34604,5984,5984,1,1,1,2,"300_1995,33,430_1995,12","300_1996,33,430_1996,12",1995,1996,0.9988151658767772,0.9988151658767772,1.0,1.0,stasis
1288,1995_200,1996_225,8654,49379,50014,50014,8746,8746,1,1,1,1,"300_1995,53,430_1995,6","300_1996,53,430_1996,6",1995,1996,0.9873035550045988,0.9873035550045988,0.989480905556826,0.989480905556826,stasis
1291,1995_203,1996_215,21858,128954,136186,137886,22962,23256,1,1,1,1,"330_1995,148","330_1996,149",1995,1996,0.9468961567268295,0.9352218499340035,0.9519205644107656,0.9398864809081527,stasis
1292,1995_204,1996_221,7956,48250,51925,51925,8545,8545,1,1,1,2,"270_1995,21,190_1995,6","270_1996,21,190_1996,6",1995,1996,0.9292248435243139,0.9292248435243139,0.9310708016383851,0.9310708016383851,stasis
1294,1995_205,1996_217,12753,80005,112658,99797,17901,15863,1,1,2,1,"200_1995,32","200_1996,23",1995,1996,0.7101581778480002,0.8016774051324188,0.7124183006535948,0.8039462901090588,majority_out
1295,1995_206,1996_194,36246,239018,280020,278864,42331,42147,1,1,1,2,"200_1995,116,290_1995,3","200_1996,116,290_1996,3",1995,1996,0.8535747446610956,0.8571131447587355,0.8562519193971321,0.8599900348779272,stasis
1298,1995_209,1996_33,10661,67027,71494,391639,11334,62089,1,3,1,1,"400_1995,24","400_1996,128,120_1996,99,410_1996,25,100_1996,24",1995,1996,0.9375192323831371,0.17114485533871754,0.9406211399329452,0.17170513295430753,growth
1299,1995_210,1996_206,6906,42873,43348,43348,6973,6973,1,1,1,1,"070_1995,53","070_1996,53",1995,1996,0.9890421703423457,0.9890421703423457,0.9903915101104259,0.9903915101104259,stasis
1300,1995_211,1996_131,10961,66980,72256,100444,11752,16364,0,2,1,1,"070_1995,39","070_1996,56",1995,1996,0.9269818423383526,0.6668392338019195,0.9326923076923077,0.6698240039110241,growth
1303,1995_214,1996_200,9353,57546,67182,68934,10897,11159,1,1,1,1,"100_1995,46","100_1996,47",1995,1996,0.8565687237652942,0.8347985029158326,0.8583096265027071,0.8381575409982973,stasis
1304,1995_215,1996_634,15208,93921,116846,126583,18840,20304,1,1,2,1,"100_1995,49","100_1996,47",1995,1996,0.803801584992212,0.7419716707614766,0.8072186836518047,0.7490149724192278,growth
1306,1995_216,1996_203,11853,76183,88094,88143,13675,13676,1,1,1,1,"100_1995,38","100_1996,38",1995,1996,0.8647921538356755,0.8643114030609351,0.866764168190128,0.866700789704592,stasis
1313,1995_221,1996_210,11714,76385,93519,94249,14233,14361,1,1,1,1,"490_1995,41","490_1996,41",1995,1996,0.8167858937755964,0.8104595274220416,0.8230169324808544,0.815681359236822,stasis
1315,1995_223,1996_212,5906,37749,43250,42877,6714,6648,2,1,1,1,"490_1995,11","490_1996,11",1995,1996,0.8728092485549133,0.8804020803694288,0.8796544533809949,0.8883874849578821,stasis
1317,1995_225,1996_58,14950,97441,123126,426057,18697,66512,1,2,1,1,"490_1995,43","490_1996,139,260_1996,13",1995,1996,0.7913925572178094,0.22870414052579818,0.7995935176766327,0.2247714698099591,growth
1318,1995_226,1996_523,7590,46274,56944,57748,9298,9433,1,1,1,1,"380_1995,21","380_1996,21",1995,1996,0.8126229277887047,0.8013091362471427,0.8163045816304582,0.8046220714512881,stasis
1321,1995_229,1996_490,7124,44425,45356,45356,7270,7270,1,1,1,1,"160_1995,30","160_1996,30",1995,1996,0.9794734985448452,0.9794734985448452,0.979917469050894,0.979917469050894,stasis
1323,1995_231,1996_492,5988,37210,41206,41206,6602,6602,1,1,1,1,"160_1995,35","160_1996,35",1995,1996,0.9030238314808523,0.9030238314808523,0.9069978794304756,0.9069978794304756,stasis
1329,1995_237,1996_498,16288,100196,100989,100989,16391,16391,1,1,1,1,"160_1995,44","160_1996,44",1995,1996,0.9921476596461001,0.9921476596461001,0.9937160636934903,0.9937160636934903,stasis
1343,1995_251,1996_510,5473,33582,34746,34746,5645,5645,1,1,1,1,"160_1995,25","160_1996,25",1995,1996,0.9664997409773787,0.9664997409773787,0.9695305580159433,0.9695305580159433,stasis
1349,1995_257,1996_518,6919,42926,45976,45976,7382,7382,1,1,1,1,"160_1995,17","160_1996,17",1995,1996,0.9336610405428919,0.9336610405428919,0.937279869953942,0.937279869953942,stasis
1362,1995_270,1996_543,6828,40673,51940,52009,8681,8687,1,1,1,1,"050_1995,20","050_1996,20",1995,1996,0.783076626877166,0.7820377242400354,0.7865453288791614,0.7860020720617014,stasis
1382,1995_291,1996_581,10987,67915,82572,86314,13312,13873,1,1,1,1,"020_1995,104","020_1996,107",1995,1996,0.8224943079978685,0.7868364344138842,0.8253455528846154,0.7919700136956679,stasis
1389,1995_298,1996_591,17206,105653,114495,114494,18561,18561,1,1,1,1,"020_1995,38","020_1996,38",1995,1996,0.9227739202585266,0.9227819798417385,0.9269974678088465,0.9269974678088465,stasis
1420,1995_329,1996_182,11233,72124,82812,151690,12864,23231,1,2,1,2,"150_1995,34","150_1996,74",1995,1996,0.8709365792397237,0.4754697079570176,0.8732120646766169,0.4835349317722009,growth
1421,1995_330,1996_571,5324,34430,38192,38192,5888,5888,1,1,1,1,"150_1995,14","150_1996,14",1995,1996,0.9014976958525346,0.9014976958525346,0.9042119565217391,0.9042119565217391,stasis
1424,1995_333,1996_575,6673,44894,52566,52696,7811,7830,1,1,1,1,"150_1995,16","150_1996,16",1995,1996,0.8540501464825172,0.8519432214968878,0.8543080271412111,0.852234993614304,stasis
1478,1995_387,1996_297,9369,55267,67187,69472,11289,11685,1,1,1,1,"260_1995,7","260_1996,7",1995,1996,0.822584726211916,0.7955291340396131,0.8299229338293914,0.8017971758664955,stasis
1484,1995_393,1996_304,12678,75729,94577,99960,15668,16550,1,1,1,1,"260_1995,16","260_1996,17",1995,1996,0.8007126468380261,0.7575930372148859,0.8091651774317079,0.7660422960725075,stasis
1487,1995_396,1996_307,5262,31579,33410,33410,5543,5543,1,1,1,1,"260_1995,22","260_1996,22",1995,1996,0.9451960490870996,0.9451960490870996,0.9493054302724157,0.9493054302724157,stasis
1489,1995_398,1996_309,5766,33342,40729,40838,7029,7049,1,1,1,1,"260_1995,17","260_1996,17",1995,1996,0.8186304598688895,0.8164454674567805,0.8203158344003414,0.8179883671442758,stasis
1490,1995_399,1996_312,16036,93485,116035,123140,19817,20996,1,1,1,1,"260_1995,63","260_1996,63",1995,1996,0.8056620847158185,0.7591765470196524,0.8092042186001918,0.7637645265764907,stasis
1495,1995_404,1996_318,7512,44972,51650,56985,8600,9430,1,1,1,1,"260_1995,16","260_1996,16",1995,1996,0.8707066795740561,0.7891901377555497,0.8734883720930232,0.7966065747613997,stasis
1499,1995_408,1996_322,6650,40732,45773,45772,7442,7442,1,1,1,1,"260_1995,12","260_1996,12",1995,1996,0.889869573766194,0.889889015118413,0.8935769954313356,0.8935769954313356,stasis
1501,1995_410,1996_286,8930,54379,63995,62678,10439,10235,1,1,1,1,"310_1995,37","310_1996,37",1995,1996,0.8497382608016252,0.8675930948658221,0.8554459239390746,0.8724963361016121,stasis
1502,1995_411,1996_287,8631,52520,58687,69212,9582,11194,1,1,1,1,"310_1995,30","310_1996,30",1995,1996,0.8949171025951232,0.7588279489105936,0.9007514088916719,0.7710380561014829,stasis
1503,1995_412,1996_288,8382,52307,64735,64664,10328,10318,1,1,1,1,"310_1995,20","310_1996,20",1995,1996,0.8080173013053217,0.8089044909068415,0.8115801704105344,0.8123667377398721,stasis
1549,1995_458,1996_449,10416,68443,74547,74547,11307,11307,1,1,1,1,"420_1995,46","420_1996,46",1995,1996,0.9181187707084122,0.9181187707084122,0.9211992570973733,0.9211992570973733,stasis
1571,1995_480,1996_113,6115,39710,118975,154950,18338,24132,1,3,1,1,"420_1995,39","420_1996,50,180_1996,8",1995,1996,0.3337675982349233,0.2562762181348822,0.3334605736721562,0.2533979777888281,noisy_part
1572,1995_481,1996_471,6238,42031,48191,47137,7135,6987,1,1,1,1,"420_1995,24","420_1996,24",1995,1996,0.8721753024423647,0.8916774508348007,0.874281709880869,0.8928009159868326,stasis
1573,1995_482,1996_472,6209,38720,41772,41772,6690,6690,1,1,1,1,"420_1995,26","420_1996,26",1995,1996,0.926936704012257,0.926936704012257,0.928101644245142,0.928101644245142,stasis
1575,1995_484,1996_474,12293,78857,94740,92820,14735,14436,1,1,1,1,"420_1995,69","420_1996,69",1995,1996,0.8323516993877982,0.8495690583925878,0.8342721411605022,0.8515516763646439,stasis
1577,1995_486,1996_476,9976,62083,70568,70568,11273,11273,1,1,1,1,"420_1995,31","420_1996,31",1995,1996,0.8797613649246118,0.8797613649246118,0.884946331943582,0.884946331943582,stasis
1580,1995_489,1996_479,6319,40775,48611,48957,7530,7582,1,1,1,1,"420_1995,18","420_1996,18",1995,1996,0.8388019172615252,0.8328737463488367,0.8391766268260292,0.8334212608810341,stasis
1584,1995_493,1996_157,33084,210225,250112,277447,39191,43664,1,2,1,1,"420_1995,156","420_1996,162,180_1996,13",1995,1996,0.8405234454964176,0.7577122837875342,0.844173407159807,0.7576951264199341,stasis
1655,1995_565,1996_40,9952,60509,71326,508919,11653,84022,1,4,1,2,"180_1995,23","180_1996,164,120_1996,63",1995,1996,0.8483442223032275,0.11889711329307807,0.8540290054063331,0.11844516912237271,growth
1805,1995_715,1996_917,53390,336265,366497,367188,58022,58134,1,1,1,2,"300_1995,114","300_1996,114",1995,1996,0.9175109209625181,0.9157842848894844,0.9201682120574954,0.9183954312450545,stasis
1816,1995_727,1996_7,13317,81514,83478,8043243,13596,1291588,1,2,1,4,"400_1995,144","420_1996,1854,400_1996,145,450_1996,32,200_1996,31,070_1996,27,260_1996,19,050_1996,14,310_1996,8,500_1996,4",1995,1996,0.9764728431443015,0.010134469392507475,0.9794792586054722,0.010310563430443764,merge
1817,1995_728,1996_885,19767,119558,128589,133413,21203,21964,1,1,1,1,"400_1995,169","400_1996,173",1995,1996,0.9297684871956389,0.8961495506434906,0.9322737348488421,0.8999726825714806,stasis
1831,1995_742,1996_716,14914,94456,99100,99100,15592,15592,1,1,1,1,"070_1995,33","070_1996,33",1995,1996,0.95313824419778,0.95313824419778,0.9565161621344279,0.9565161621344279,stasis
1834,1995_745,1996_719,10989,65411,66782,66782,11198,11198,1,1,1,1,"070_1995,46","070_1996,46",1995,1996,0.9794705160073074,0.9794705160073074,0.981335952848723,0.981335952848723,stasis
1848,1995_759,1996_733,8374,50581,54381,54381,8989,8989,1,1,1,1,"070_1995,35","070_1996,35",1995,1996,0.930122653132528,0.930122653132528,0.9315830459450439,0.9315830459450439,stasis
1859,1995_771,1996_743,5252,32720,34019,34019,5442,5442,0,1,1,1,"070_1995,19","070_1996,19",1995,1996,0.9618154560686675,0.9618154560686675,0.9650863653068724,0.9650863653068724,stasis
1863,1995_775,1996_749,6335,38576,42518,42518,6945,6945,0,1,1,1,"070_1995,13","070_1996,13",1995,1996,0.9072863257914295,0.9072863257914295,0.912167026637869,0.912167026637869,stasis
1864,1995_776,1996_78,9444,58386,62400,339414,10077,54949,0,6,1,1,"070_1995,11","070_1996,123",1995,1996,0.9356730769230769,0.17202001096006647,0.9371836856207204,0.17186845984458315,merge
1866,1995_778,1996_78,5863,35961,39541,339414,6400,54949,0,6,1,1,"070_1995,11","070_1996,123",1995,1996,0.909461065729243,0.1059502554402588,0.91609375,0.10669893901617863,merge
1876,1995_789,1996_636,7121,45676,53527,52554,8334,8173,1,1,1,1,"100_1995,14","100_1996,14",1995,1996,0.8533263586601154,0.8691250903832248,0.8544516438684905,0.8712834944328888,stasis
1956,1995_876,1996_621,5711,35247,42859,44142,6901,7129,1,1,1,1,"290_1995,15","290_1996,15",1995,1996,0.8223943629109405,0.7984912328394727,0.8275612230111578,0.8010941225978399,stasis
1957,1995_877,1996_622,7319,45889,51213,51213,8121,8121,1,1,1,1,"290_1995,29","290_1996,29",1995,1996,0.8960420205807119,0.8960420205807119,0.9012436892008373,0.9012436892008373,stasis
1998,1996_0,1997_0,354886,2164721,2416077,2374344,393825,387138,5,2,4,2,"250_1996,1821,430_1996,63,420_1996,32,070_1996,21,180_1996,20,310_1996,19,150_1996,13,100_1996,9,220_1996,8","250_1997,1782,480_1997,88,430_1997,63,420_1997,45,070_1997,21,180_1997,20,150_1997,13,310_1997,7",1996,1997,0.8959652362072897,0.9117132984942368,0.9011261347045008,0.9166912057199241,stasis
2001,1996_0,1997_120,6404,39599,2416077,43971,393825,7072,5,1,4,1,"250_1996,1821,430_1996,63,420_1996,32,070_1996,21,180_1996,20,310_1996,19,150_1996,13,100_1996,9,220_1996,8","250_1997,42,310_1997,12,100_1997,9",1996,1997,0.016389792212748187,0.9005708307748289,0.016261029645146956,0.9055429864253394,split
2002,1996_1,1997_3,567581,3507986,4410352,3776775,709199,609086,2,2,6,4,"160_1996,2731,430_1996,211,420_1996,35,070_1996,30,300_1996,18,360_1996,17,180_1996,16,250_1996,13,310_1996,7","160_1997,2308,430_1997,253,420_1997,36,070_1997,30,300_1997,18,360_1997,17,250_1997,13,180_1997,2",1996,1997,0.7953981904392212,0.92883107942623,0.8003127471978951,0.931856913473631,stasis
2003,1996_1,1997_66,95660,602832,4410352,670237,709199,105923,2,1,6,1,"160_1996,2731,430_1996,211,420_1996,35,070_1996,30,300_1996,18,360_1996,17,180_1996,16,250_1996,13,310_1996,7","160_1997,426,180_1997,14",1996,1997,0.13668568857995916,0.8994310967612948,0.13488456695511414,0.9031088620979391,split
2008,1996_2,1997_1,54397,319450,363039,365308,61403,61792,14,1,1,2,"460_1996,278,330_1996,60","460_1997,278,330_1997,60",1996,1997,0.8799330099520988,0.8744675725689007,0.8859013403253913,0.8803243138270326,stasis
2009,1996_3,1997_2,27653,169252,179619,185694,29192,30189,1,1,1,6,"360_1996,404,160_1996,18","360_1997,419,160_1997,18",1996,1997,0.9422833887283639,0.9114564821695909,0.9472800767333516,0.9159958925436418,stasis
2010,1996_4,1997_7,354424,2194566,2957918,2680451,476135,430426,2,2,4,1,"120_1996,864,150_1996,213,420_1996,11,180_1996,11","120_1997,862,150_1997,16,180_1997,11,420_1997,11",1996,1997,0.7419292894529192,0.8187301316084494,0.7443771199344724,0.8234260941485877,split
2012,1996_4,1997_183,59928,364528,2957918,437543,476135,71637,2,1,4,1,"120_1996,864,150_1996,213,420_1996,11,180_1996,11","150_1997,145,120_1997,15",1996,1997,0.12323803432008595,0.8331249728598104,0.1258634630934504,0.836550944344403,split
2013,1996_4,1997_98,6197,40086,2957918,104029,476135,16104,2,3,4,1,"120_1996,864,150_1996,213,420_1996,11,180_1996,11","150_1997,51,440_1997,45,430_1997,37,290_1997,13",1996,1997,0.013552099821563681,0.3853348585490584,0.013015216272695768,0.3848112270243418,splinter_out
2014,1996_5,1997_4,477010,2983246,3527548,3445116,562001,548806,1,3,3,3,"420_1996,589,120_1996,450,480_1996,54,250_1996,39,200_1996,8","420_1997,621,120_1997,433,480_1997,54,250_1997,39,200_1997,8",1996,1997,0.8456996191121992,0.8659348480573659,0.8487707317246767,0.8691778151113508,stasis
2015,1996_5,1997_7,28231,175250,3527548,2680451,562001,430426,1,2,3,1,"420_1996,589,120_1996,450,480_1996,54,250_1996,39,200_1996,8","120_1997,862,150_1997,16,180_1997,11,420_1997,11",1996,1997,0.04968040123054314,0.0653807885314822,0.05023300670283505,0.06558850998777954,splinter_io
2017,1996_6,1997_9,236612,1451876,1616603,1570190,262425,255120,2,1,3,3,"070_1996,545,160_1996,105,150_1996,42,500_1996,35","070_1997,526,160_1997,105,150_1997,42",1996,1997,0.8981029974582504,0.9246498831351619,0.9016366580927884,0.9274537472561931,stasis
2019,1996_6,1997_206,6581,41451,1616603,45917,262425,7234,2,1,3,1,"070_1996,545,160_1996,105,150_1996,42,500_1996,35","500_1997,35,070_1997,9",1996,1997,0.025640803586285562,0.9027375481847681,0.025077641230827855,0.9097318219518938,split
2020,1996_7,1997_5,1038685,6450732,8043243,8535789,1291588,1370530,2,6,4,6,"420_1996,1854,400_1996,145,450_1996,32,200_1996,31,070_1996,27,260_1996,19,050_1996,14,310_1996,8,500_1996,4","420_1997,1773,450_1997,58,200_1997,31,070_1997,27,290_1997,24,260_1997,22,050_1997,14,310_1997,8,500_1997,4",1996,1997,0.8020063548993858,0.7557276778983173,0.8041922037058257,0.7578710425893632,stasis
2021,1996_7,1997_53,15431,98520,8043243,1950947,1291588,308028,2,2,4,4,"420_1996,1854,400_1996,145,450_1996,32,200_1996,31,070_1996,27,260_1996,19,050_1996,14,310_1996,8,500_1996,4","200_1997,513,420_1997,290,160_1997,15,100_1997,9,220_1997,9",1996,1997,0.012248790693007784,0.05049855275412402,0.011947308274774929,0.050096095160180244,splinter_io
2022,1996_7,1997_829,13381,81879,8043243,83914,1291588,13671,2,1,4,1,"420_1996,1854,400_1996,145,450_1996,32,200_1996,31,070_1996,27,260_1996,19,050_1996,14,310_1996,8,500_1996,4","400_1997,146",1996,1997,0.01017984909818092,0.9757489810996973,0.010360114835380942,0.9787872138102552,split
2024,1996_8,1997_11,219400,1391161,1595146,1589411,250792,249897,5,1,2,1,"220_1996,648,100_1996,58,120_1996,31,500_1996,11,360_1996,10,260_1996,6,200_1996,5","220_1997,640,100_1997,58,120_1997,31,500_1997,11,360_1997,10,260_1997,6,200_1997,5",1996,1997,0.8721214233681431,0.8752682597515683,0.8748285431752209,0.8779617202287342,stasis
2026,1996_9,1997_8,312933,1935214,2341400,2341871,376748,376828,2,1,2,2,"190_1996,856,260_1996,207,150_1996,46,360_1996,22,420_1996,8,180_1996,6,490_1996,4","190_1997,850,260_1997,208,150_1997,46,360_1997,22,420_1997,8,180_1997,6,490_1997,4",1996,1997,0.8265200307508328,0.8263538000171657,0.830616220922208,0.8304398823866591,stasis
2028,1996_10,1997_40,25421,149955,448999,173104,76387,29194,8,1,3,2,"100_1996,305","100_1997,177",1996,1997,0.33397624493595757,0.8662711433589056,0.3327922290442091,0.8707611152976639,split
2029,1996_10,1997_36,37483,216763,448999,272847,76387,46572,8,1,3,2,"100_1996,305","100_1997,123",1996,1997,0.48276944937516564,0.7944489035979871,0.49069867909461035,0.8048398179163446,split
2032,1996_11,1997_31,13078,83869,2182803,1147846,343809,181218,1,3,4,1,"330_1996,336,420_1996,210,160_1996,24,150_1996,11,260_1996,8,250_1996,8,100_1996,8,140_1996,4","420_1997,386,150_1997,64,160_1997,22,490_1997,3",1996,1997,0.03842261532534086,0.07306642180222782,0.03803856210861263,0.07216722400644528,splinter_io
2033,1996_11,1997_12,282180,1784884,2182803,2165173,343809,341150,1,3,4,2,"330_1996,336,420_1996,210,160_1996,24,150_1996,11,260_1996,8,250_1996,8,100_1996,8,140_1996,4","330_1997,317,420_1997,200,160_1997,24,100_1997,8,260_1997,8,430_1997,6,140_1997,4",1996,1997,0.8177027427578211,0.8243609171184012,0.8207464027992286,0.8271434852704089,stasis
2035,1996_12,1997_10,104680,641276,848083,796293,137786,129419,3,3,2,4,"210_1996,167,180_1996,128,420_1996,20,100_1996,13,360_1996,12,280_1996,8,490_1996,6,070_1996,6","180_1997,137,210_1997,120,260_1997,22,100_1997,21,420_1997,20,360_1997,12,280_1997,8,490_1997,6",1996,1997,0.7561476883748407,0.8053266825151044,0.7597288548909178,0.8088456872638484,stasis
2036,1996_12,1997_19,13985,86229,848083,1637170,137786,264507,3,2,2,1,"210_1996,167,180_1996,128,420_1996,20,100_1996,13,360_1996,12,280_1996,8,490_1996,6,070_1996,6","210_1997,235,150_1997,82,070_1997,77",1996,1997,0.10167518981043129,0.05266954561835362,0.10149797512083956,0.05287194667815975,splinter_io
2037,1996_13,1997_18,94175,574316,716742,660811,117232,107865,1,1,3,3,"150_1996,228,300_1996,38,100_1996,19,490_1996,18,260_1996,14,280_1996,5","150_1997,228,300_1997,38,100_1997,20,280_1997,5",1996,1997,0.8012869344896769,0.8691078084353923,0.8033216186706701,0.8730820933574376,stasis
2041,1996_14,1997_30,31014,187879,244101,221316,40208,36234,5,1,2,1,"100_1996,150","100_1997,118",1996,1997,0.7696773057054253,0.8489173850964232,0.7713390370075607,0.8559364133134625,stasis
2042,1996_15,1997_16,99456,622137,733207,741114,116609,117930,2,3,2,4,"450_1996,193,490_1996,72,400_1996,31","450_1997,193,490_1997,89,400_1997,23",1996,1997,0.8485148123244868,0.839461945125851,0.8529015770652351,0.8433477486644619,stasis
2044,1996_16,1997_14,38987,240853,277092,304814,44608,49061,1,3,1,3,"050_1996,61,200_1996,24,160_1996,13,440_1996,13,070_1996,12,150_1996,11,360_1996,11,420_1996,11,220_1996,9,210_1996,8,120_1996,8,180_1996,4","050_1997,62,200_1997,31,220_1997,15,440_1997,13,160_1997,13,070_1997,12,360_1997,11,420_1997,11,150_1997,11,210_1997,8,120_1997,8,180_1997,4",1996,1997,0.8692167222438757,0.790163837619007,0.873991212338594,0.7946637858991867,stasis
